CODCLIFOR;DOCUMENTO;TIPODOCUMENTO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;DATASCADENZA;IMPORTOSCEURO;ESITO;DSCESITO;DATAPAGEFF;IDTESTA
C  1049;FTE/2017/829;Fatt. clienti estero;2017;FTE;829;;2017-05-16 00:00:00.000;2017-06-30 00:00:00.000;246.2500;0;NON EMESSO;NULL;457318
C  1958;FTE/2017/815;Fatt. clienti estero;2017;FTE;815;;2017-05-15 00:00:00.000;2017-08-13 00:00:00.000;27318.2000;0;NON EMESSO;NULL;457121
C  2651;FTE/2017/831;Fatt. clienti estero;2017;FTE;831;;2017-05-16 00:00:00.000;2017-07-15 00:00:00.000;5220.0000;2;PAGATO;2017-07-19 00:00:00.000;457359
C  2693;FTE/2017/834;Fatt. clienti estero;2017;FTE;834;;2017-05-17 00:00:00.000;2017-05-17 00:00:00.000;1034.2500;2;PAGATO;2017-05-17 00:00:00.000;457398
C  2931;FTI/2017/2101;Fatt. clienti italia;2017;FTI;2101;;2017-05-12 00:00:00.000;2017-05-12 00:00:00.000;1779.5700;2;PAGATO;2017-05-12 00:00:00.000;457437
C  2810;FTE/2017/835;Fatt. clienti estero;2017;FTE;835;;2017-05-17 00:00:00.000;2017-06-16 00:00:00.000;530.0000;2;PAGATO;2017-07-13 00:00:00.000;457443
C  2897;FTI/2017/2103;Fatt. clienti italia;2017;FTI;2103;;2017-05-12 00:00:00.000;2017-05-12 00:00:00.000;5954.9200;2;PAGATO;2017-05-22 00:00:00.000;457457
C  2162;FTE/2017/839;Fatt. clienti estero;2017;FTE;839;;2017-05-17 00:00:00.000;2017-08-15 00:00:00.000;18218.2000;0;NON EMESSO;NULL;457512
C  2840;FTE/2017/841;Fatt. clienti estero;2017;FTE;841;;2017-05-17 00:00:00.000;2017-05-17 00:00:00.000;120.0000;2;PAGATO;2017-05-17 00:00:00.000;457514
C  1562;FTE/2017/843;Fatt. clienti estero;2017;FTE;843;;2017-05-18 00:00:00.000;2017-07-17 00:00:00.000;24177.3300;2;PAGATO;2017-07-17 00:00:00.000;457517
C  1051;FTE/2017/844;Fatt. clienti estero;2017;FTE;844;;2017-05-18 00:00:00.000;2017-08-16 00:00:00.000;22600.0000;0;NON EMESSO;NULL;457523
C  1051;FTE/2017/846;Fatt. clienti estero;2017;FTE;846;;2017-05-18 00:00:00.000;2017-08-16 00:00:00.000;22600.0000;0;NON EMESSO;NULL;457547
C  2637;FTE/2017/847;Fatt. clienti estero;2017;FTE;847;;2017-05-18 00:00:00.000;2017-07-17 00:00:00.000;4338.6000;2;PAGATO;2017-07-17 00:00:00.000;457660
C  1026;FTE/2017/849;Fatt. clienti estero;2017;FTE;849;;2017-05-18 00:00:00.000;2017-09-30 00:00:00.000;445.0000;0;NON EMESSO;NULL;457663
C  1026;FTE/2017/851;Fatt. clienti estero;2017;FTE;851;;2017-05-18 00:00:00.000;2017-09-30 00:00:00.000;4720.0000;0;NON EMESSO;NULL;457666
C  1701;FTE/2017/853;Fatt. clienti estero;2017;FTE;853;;2017-05-18 00:00:00.000;2017-09-15 00:00:00.000;11760.0000;0;NON EMESSO;NULL;457668
C  1709;FTE/2017/855;Fatt. clienti estero;2017;FTE;855;;2017-05-18 00:00:00.000;2017-08-16 00:00:00.000;21922.2000;0;NON EMESSO;NULL;457670
C     7;FTI/2017/2104;Fatt. clienti italia;2017;FTI;2104;;2017-05-12 00:00:00.000;2017-06-30 00:00:00.000;6728.8500;2;PAGATO;2017-05-12 00:00:00.000;457696
C    39;FTI/2017/2106;Fatt. clienti italia;2017;FTI;2106;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;3836.6000;2;PAGATO;2017-05-12 00:00:00.000;457698
C    67;FTI/2017/2108;Fatt. clienti italia;2017;FTI;2108;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;19127.1600;0;NON EMESSO;NULL;457700
C    87;FTI/2017/2110;Fatt. clienti italia;2017;FTI;2110;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;28410.0200;0;NON EMESSO;NULL;457702
C    93;FTI/2017/2112;Fatt. clienti italia;2017;FTI;2112;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;21663.5400;0;NON EMESSO;NULL;457704
C   106;FTI/2017/2114;Fatt. clienti italia;2017;FTI;2114;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;1018.4600;2;PAGATO;2017-05-12 00:00:00.000;457706
C   114;FTI/2017/2116;Fatt. clienti italia;2017;FTI;2116;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;20680.2200;2;PAGATO;2017-05-12 00:00:00.000;457708
C   148;FTI/2017/2118;Fatt. clienti italia;2017;FTI;2118;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;16347.7600;2;PAGATO;2017-05-12 00:00:00.000;457712
C   161;FTI/2017/2120;Fatt. clienti italia;2017;FTI;2120;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;6370.3500;2;PAGATO;2017-05-12 00:00:00.000;457714
C   172;FTI/2017/2122;Fatt. clienti italia;2017;FTI;2122;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;3782.0000;2;PAGATO;2017-05-12 00:00:00.000;457716
C   238;FTI/2017/2124;Fatt. clienti italia;2017;FTI;2124;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;448.3500;2;PAGATO;2017-05-12 00:00:00.000;457718
C   268;FTI/2017/2126;Fatt. clienti italia;2017;FTI;2126;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;5523.7900;2;PAGATO;2017-05-12 00:00:00.000;457720
C   300;FTI/2017/2128;Fatt. clienti italia;2017;FTI;2128;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;12328.1000;2;PAGATO;2017-05-12 00:00:00.000;457722
C   397;FTI/2017/2130;Fatt. clienti italia;2017;FTI;2130;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;10248.0000;2;PAGATO;2017-05-12 00:00:00.000;457724
C   422;FTI/2017/2132;Fatt. clienti italia;2017;FTI;2132;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;2371.3100;0;NON EMESSO;NULL;457726
C   477;FTI/2017/2135;Fatt. clienti italia;2017;FTI;2135;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;11412.8600;0;NON EMESSO;NULL;457729
C   541;FTI/2017/2137;Fatt. clienti italia;2017;FTI;2137;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;4345.1500;2;PAGATO;2017-05-12 00:00:00.000;457731
C   563;FTI/2017/2139;Fatt. clienti italia;2017;FTI;2139;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;121975.6000;2;PAGATO;2017-05-12 00:00:00.000;457733
C   650;FTI/2017/2141;Fatt. clienti italia;2017;FTI;2141;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;1251.2300;2;PAGATO;2017-05-12 00:00:00.000;457735
C   676;FTI/2017/2144;Fatt. clienti italia;2017;FTI;2144;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;8496.5700;0;NON EMESSO;NULL;457738
C   681;FTI/2017/2146;Fatt. clienti italia;2017;FTI;2146;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;20347.6500;0;NON EMESSO;NULL;457741
C   725;FTI/2017/2148;Fatt. clienti italia;2017;FTI;2148;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;618.5400;0;NON EMESSO;NULL;457743
C   827;FTI/2017/2150;Fatt. clienti italia;2017;FTI;2150;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;807.6400;2;PAGATO;2017-05-12 00:00:00.000;457745
C   884;FTI/2017/2152;Fatt. clienti italia;2017;FTI;2152;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;11910.6200;0;NON EMESSO;NULL;457747
C  1117;FTI/2017/2154;Fatt. clienti italia;2017;FTI;2154;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;139806.3300;0;NON EMESSO;NULL;457749
C  1158;FTI/2017/2156;Fatt. clienti italia;2017;FTI;2156;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;7675.0200;0;NON EMESSO;NULL;457751
C  1225;FTI/2017/2158;Fatt. clienti italia;2017;FTI;2158;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;4239.7400;2;PAGATO;2017-05-12 00:00:00.000;457753
C  1236;FTI/2017/2160;Fatt. clienti italia;2017;FTI;2160;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;634.4000;2;PAGATO;2017-05-12 00:00:00.000;457755
C  1272;FTI/2017/2162;Fatt. clienti italia;2017;FTI;2162;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;506.3000;2;PAGATO;2017-05-12 00:00:00.000;457757
C  1295;FTI/2017/2164;Fatt. clienti italia;2017;FTI;2164;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;204.3500;2;PAGATO;2017-05-12 00:00:00.000;457759
C  1337;FTI/2017/2166;Fatt. clienti italia;2017;FTI;2166;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;1140.6500;0;NON EMESSO;NULL;457761
C  1395;FTI/2017/2168;Fatt. clienti italia;2017;FTI;2168;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;14440.9000;0;NON EMESSO;NULL;457763
C  1444;FTI/2017/2170;Fatt. clienti italia;2017;FTI;2170;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;366.0000;2;PAGATO;2017-05-12 00:00:00.000;457765
C  1636;FTI/2017/2172;Fatt. clienti italia;2017;FTI;2172;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;3877.6500;2;PAGATO;2017-05-12 00:00:00.000;457767
C  1714;FTI/2017/2174;Fatt. clienti italia;2017;FTI;2174;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;22666.5000;0;NON EMESSO;NULL;457769
C  1737;FTI/2017/2175;Fatt. clienti italia;2017;FTI;2175;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;2714.5000;2;PAGATO;2017-05-12 00:00:00.000;457770
C  1762;FTI/2017/2177;Fatt. clienti italia;2017;FTI;2177;;2017-05-12 00:00:00.000;2017-10-10 00:00:00.000;11797.4000;2;PAGATO;2017-05-12 00:00:00.000;457772
C  1829;FTI/2017/2179;Fatt. clienti italia;2017;FTI;2179;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;25927.4400;0;NON EMESSO;NULL;457774
C  1839;FTI/2017/2181;Fatt. clienti italia;2017;FTI;2181;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;768.6000;2;PAGATO;2017-05-12 00:00:00.000;457776
C  1863;FTI/2017/2183;Fatt. clienti italia;2017;FTI;2183;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;7082.3400;0;NON EMESSO;NULL;457778
C  1895;FTI/2017/2185;Fatt. clienti italia;2017;FTI;2185;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;3001.2000;2;PAGATO;2017-05-12 00:00:00.000;457780
C  1930;FTI/2017/2187;Fatt. clienti italia;2017;FTI;2187;;2017-05-12 00:00:00.000;2017-06-30 00:00:00.000;160.1300;2;PAGATO;2017-05-12 00:00:00.000;457782
C  1944;FTI/2017/2189;Fatt. clienti italia;2017;FTI;2189;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;3911.8100;2;PAGATO;2017-05-12 00:00:00.000;457784
C  1965;FTI/2017/2190;Fatt. clienti italia;2017;FTI;2190;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;5876.5000;2;PAGATO;2017-05-12 00:00:00.000;457785
C  1990;FTI/2017/2192;Fatt. clienti italia;2017;FTI;2192;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;259.2500;2;PAGATO;2017-05-12 00:00:00.000;457787
C  2016;FTI/2017/2194;Fatt. clienti italia;2017;FTI;2194;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;11297.2000;2;PAGATO;2017-08-08 00:00:00.000;457789
C  2190;FTE/2017/857;Fatt. clienti estero;2017;FTE;857;;2017-05-18 00:00:00.000;2017-08-31 00:00:00.000;3630.0000;0;NON EMESSO;NULL;457672
C  2049;FTI/2017/2196;Fatt. clienti italia;2017;FTI;2196;;2017-05-12 00:00:00.000;2017-06-30 00:00:00.000;1384.7000;2;PAGATO;2017-05-12 00:00:00.000;457792
C  2061;FTI/2017/2197;Fatt. clienti italia;2017;FTI;2197;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;100.6500;2;PAGATO;2017-05-12 00:00:00.000;457793
C  2068;FTI/2017/2198;Fatt. clienti italia;2017;FTI;2198;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;448.3500;2;PAGATO;2017-05-12 00:00:00.000;457794
C  2088;FTI/2017/2200;Fatt. clienti italia;2017;FTI;2200;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;384.3000;2;PAGATO;2017-05-12 00:00:00.000;457796
C  2169;FTI/2017/2202;Fatt. clienti italia;2017;FTI;2202;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;7125.0000;2;PAGATO;2017-05-12 00:00:00.000;457799
C  2197;FTI/2017/2204;Fatt. clienti italia;2017;FTI;2204;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;17382.8000;2;PAGATO;2017-05-12 00:00:00.000;457801
C  2240;FTI/2017/2207;Fatt. clienti italia;2017;FTI;2207;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;13151.6000;2;PAGATO;2017-05-12 00:00:00.000;457804
C  2273;FTI/2017/2209;Fatt. clienti italia;2017;FTI;2209;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;597.8000;2;PAGATO;2017-05-12 00:00:00.000;457806
C  2311;FTI/2017/2211;Fatt. clienti italia;2017;FTI;2211;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;10562.7600;0;NON EMESSO;NULL;457808
C  2342;FTI/2017/2213;Fatt. clienti italia;2017;FTI;2213;;2017-05-12 00:00:00.000;2017-05-12 00:00:00.000;1903.2000;2;PAGATO;2017-05-12 00:00:00.000;457810
C  2448;FTE/2017/871;Fatt. clienti estero;2017;FTE;871;;2017-05-23 00:00:00.000;2017-06-22 00:00:00.000;21085.5000;2;PAGATO;2017-06-26 00:00:00.000;458058
C  1438;NC3/2017/2236;NCC su fatt.servizi;2017;NC3;2236;;2017-05-19 00:00:00.000;2017-09-30 00:00:00.000;4930.0000;2;PAGATO;2017-05-29 00:00:00.000;458124
C   173;FTS/2017/2238;Fattura servizi;2017;FTS;2238;;2017-05-19 00:00:00.000;2017-09-30 00:00:00.000;244.0000;2;PAGATO;2017-05-31 00:00:00.000;458127
C  2555;NE2/2017/873;NCC ret.val.vend. EST;2017;NE2;873;;2017-05-23 00:00:00.000;2017-06-22 00:00:00.000;787.5000;0;NON EMESSO;NULL;458130
C  1958;NE2/2017/875;NCC ret.val.vend. EST;2017;NE2;875;;2017-05-23 00:00:00.000;2017-08-21 00:00:00.000;774.2000;0;NON EMESSO;NULL;458133
C  2379;FTE/2017/877;Fatt. clienti estero;2017;FTE;877;;2017-05-24 00:00:00.000;2017-08-31 00:00:00.000;16095.6000;0;NON EMESSO;NULL;458180
C  1701;FTE/2017/879;Fatt. clienti estero;2017;FTE;879;;2017-05-24 00:00:00.000;2017-09-21 00:00:00.000;20150.0000;0;NON EMESSO;NULL;458182
C  1040;FTE/2017/881;Fatt. clienti estero;2017;FTE;881;;2017-05-24 00:00:00.000;2017-08-31 00:00:00.000;222.0000;0;NON EMESSO;NULL;458202
C     7;FTI/2017/2240;Fatt. clienti italia;2017;FTI;2240;;2017-05-19 00:00:00.000;2017-05-19 00:00:00.000;160.1300;2;PAGATO;2017-05-31 00:00:00.000;458323
C  1792;FTI/2017/3162;Fatt. clienti italia;2017;FTI;3162;;2017-07-07 00:00:00.000;2017-10-31 00:00:00.000;26242.0800;2;PAGATO;2017-07-14 00:00:00.000;464290
C  1830;FTI/2017/3165;Fatt. clienti italia;2017;FTI;3165;;2017-07-07 00:00:00.000;2017-10-31 00:00:00.000;63872.8600;0;NON EMESSO;NULL;464293
C  2835;FTI/2017/3214;Fatt. clienti italia;2017;FTI;3214;;2017-07-07 00:00:00.000;2017-07-07 00:00:00.000;1052.2500;2;PAGATO;2017-07-07 00:00:00.000;464352
C  2852;FTI/2017/3216;Fatt. clienti italia;2017;FTI;3216;;2017-07-07 00:00:00.000;2017-09-30 00:00:00.000;1098.0000;2;PAGATO;2017-07-14 00:00:00.000;464355
C  2875;FTI/2017/3218;Fatt. clienti italia;2017;FTI;3218;;2017-07-07 00:00:00.000;2017-10-31 00:00:00.000;6113.6600;2;PAGATO;2017-07-14 00:00:00.000;464357
C  2900;FTI/2017/3220;Fatt. clienti italia;2017;FTI;3220;;2017-07-07 00:00:00.000;2017-09-10 00:00:00.000;908.9000;2;PAGATO;2017-07-14 00:00:00.000;464360
C  2931;FTI/2017/3222;Fatt. clienti italia;2017;FTI;3222;;2017-07-07 00:00:00.000;2017-09-10 00:00:00.000;3008.0300;2;PAGATO;2017-07-14 00:00:00.000;464362
C  2965;FTI/2017/3224;Fatt. clienti italia;2017;FTI;3224;;2017-07-07 00:00:00.000;2017-09-10 00:00:00.000;7621.9500;2;PAGATO;2017-07-14 00:00:00.000;464364
C  1870;FTE/2017/1216;Fatt. clienti estero;2017;FTE;1216;;2017-07-13 00:00:00.000;2017-10-11 00:00:00.000;24288.0000;0;NON EMESSO;NULL;464437
C  1032;FTE/2017/828;Fatt. clienti estero;2017;FTE;828;;2017-05-16 00:00:00.000;2017-08-14 00:00:00.000;23000.0000;0;NON EMESSO;NULL;457302
C  1870;FTE/2017/830;Fatt. clienti estero;2017;FTE;830;;2017-05-16 00:00:00.000;2017-08-14 00:00:00.000;22848.0000;0;NON EMESSO;NULL;457358
C  2623;FTE/2017/832;Fatt. clienti estero;2017;FTE;832;;2017-05-16 00:00:00.000;2017-08-14 00:00:00.000;7332.6000;0;NON EMESSO;NULL;457360
C  2283;FTE/2017/833;Fatt. clienti estero;2017;FTE;833;;2017-05-17 00:00:00.000;2017-07-16 00:00:00.000;14400.0000;2;PAGATO;2017-06-05 00:00:00.000;457388
C  2693;FTE/2017/834;Fatt. clienti estero;2017;FTE;834;;2017-05-17 00:00:00.000;2017-06-16 00:00:00.000;1034.2500;2;PAGATO;2017-07-07 00:00:00.000;457398
C  2931;FTI/2017/2102;Fatt. clienti italia;2017;FTI;2102;;2017-05-12 00:00:00.000;2017-06-30 00:00:00.000;4404.8600;2;PAGATO;2017-05-12 00:00:00.000;457438
C  2810;FTE/2017/836;Fatt. clienti estero;2017;FTE;836;;2017-05-17 00:00:00.000;2017-06-16 00:00:00.000;16000.0000;2;PAGATO;2017-07-13 00:00:00.000;457448
C  1464;FTE/2017/799;Fatt. clienti estero;2017;FTE;799;;2017-05-11 00:00:00.000;2017-08-09 00:00:00.000;25023.0000;0;NON EMESSO;NULL;456949
C  1021;FTE/2017/837;Fatt. clienti estero;2017;FTE;837;;2017-05-17 00:00:00.000;2017-09-14 00:00:00.000;18000.0000;0;NON EMESSO;NULL;457485
C  1701;FTE/2017/838;Fatt. clienti estero;2017;FTE;838;;2017-05-17 00:00:00.000;2017-09-14 00:00:00.000;17148.7500;0;NON EMESSO;NULL;457509
C  1525;FTE/2017/840;Fatt. clienti estero;2017;FTE;840;;2017-05-17 00:00:00.000;2017-08-31 00:00:00.000;23600.0000;0;NON EMESSO;NULL;457513
C  1010;FTE/2017/842;Fatt. clienti estero;2017;FTE;842;;2017-05-17 00:00:00.000;2017-07-31 00:00:00.000;25080.0000;2;PAGATO;2017-07-18 00:00:00.000;457515
C  2853;FTE/2017/845;Fatt. clienti estero;2017;FTE;845;;2017-05-18 00:00:00.000;2017-08-16 00:00:00.000;31600.0000;0;NON EMESSO;NULL;457531
C  1026;FTE/2017/848;Fatt. clienti estero;2017;FTE;848;;2017-05-18 00:00:00.000;2017-09-30 00:00:00.000;22400.0000;0;NON EMESSO;NULL;457662
C  1026;FTE/2017/850;Fatt. clienti estero;2017;FTE;850;;2017-05-18 00:00:00.000;2017-09-30 00:00:00.000;820.0000;0;NON EMESSO;NULL;457665
C  1026;FTE/2017/852;Fatt. clienti estero;2017;FTE;852;;2017-05-18 00:00:00.000;2017-09-30 00:00:00.000;2580.0000;0;NON EMESSO;NULL;457667
C  2494;FTE/2017/854;Fatt. clienti estero;2017;FTE;854;;2017-05-18 00:00:00.000;2017-09-15 00:00:00.000;10881.9000;0;NON EMESSO;NULL;457669
C  2476;FTE/2017/858;Fatt. clienti estero;2017;FTE;858;;2017-05-18 00:00:00.000;2017-08-31 00:00:00.000;8116.8000;0;NON EMESSO;NULL;457673
C    25;FTI/2017/2105;Fatt. clienti italia;2017;FTI;2105;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;8325.7700;2;PAGATO;2017-05-12 00:00:00.000;457697
C    51;FTI/2017/2107;Fatt. clienti italia;2017;FTI;2107;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;285.1800;0;NON EMESSO;NULL;457699
C    79;FTI/2017/2109;Fatt. clienti italia;2017;FTI;2109;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;2551.0200;2;PAGATO;2017-05-12 00:00:00.000;457701
C    92;FTI/2017/2111;Fatt. clienti italia;2017;FTI;2111;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;5343.0000;2;PAGATO;2017-05-12 00:00:00.000;457703
C   102;FTI/2017/2113;Fatt. clienti italia;2017;FTI;2113;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;19419.1700;2;PAGATO;2017-05-12 00:00:00.000;457705
C   107;FTI/2017/2115;Fatt. clienti italia;2017;FTI;2115;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;41613.9600;0;NON EMESSO;NULL;457707
C   120;FTI/2017/2117;Fatt. clienti italia;2017;FTI;2117;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;1159.0000;2;PAGATO;2017-05-12 00:00:00.000;457710
C   159;FTI/2017/2119;Fatt. clienti italia;2017;FTI;2119;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;211201.8300;0;NON EMESSO;NULL;457713
C   164;FTI/2017/2121;Fatt. clienti italia;2017;FTI;2121;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;579.5000;2;PAGATO;2017-05-12 00:00:00.000;457715
C   173;FTI/2017/2123;Fatt. clienti italia;2017;FTI;2123;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;31007.5200;2;PAGATO;2017-05-12 00:00:00.000;457717
C   240;FTI/2017/2125;Fatt. clienti italia;2017;FTI;2125;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;5377.9300;0;NON EMESSO;NULL;457719
C   294;FTI/2017/2127;Fatt. clienti italia;2017;FTI;2127;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;171572.6500;2;PAGATO;2017-05-12 00:00:00.000;457721
C   331;FTI/2017/2129;Fatt. clienti italia;2017;FTI;2129;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;52228.6400;0;NON EMESSO;NULL;457723
C   408;FTI/2017/2131;Fatt. clienti italia;2017;FTI;2131;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;1000.4000;2;PAGATO;2017-05-12 00:00:00.000;457725
C   469;FTI/2017/2133;Fatt. clienti italia;2017;FTI;2133;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;1230.0000;2;PAGATO;2017-08-01 00:00:00.000;457727
C   480;FTI/2017/2136;Fatt. clienti italia;2017;FTI;2136;;2017-05-12 00:00:00.000;2017-09-09 00:00:00.000;74280.8000;0;NON EMESSO;NULL;457730
C   542;FTI/2017/2138;Fatt. clienti italia;2017;FTI;2138;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;311.1000;2;PAGATO;2017-05-12 00:00:00.000;457732
C   638;FTI/2017/2140;Fatt. clienti italia;2017;FTI;2140;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;39405.0200;2;PAGATO;2017-05-12 00:00:00.000;457734
C   668;FTI/2017/2143;Fatt. clienti italia;2017;FTI;2143;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;416.3300;2;PAGATO;2017-05-12 00:00:00.000;457737
C   676;FTI/2017/2145;Fatt. clienti italia;2017;FTI;2145;;2017-05-12 00:00:00.000;2017-09-30 00:00:00.000;30568.3200;0;NON EMESSO;NULL;457739
C   688;FTI/2017/2147;Fatt. clienti italia;2017;FTI;2147;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;1183.4000;2;PAGATO;2017-05-12 00:00:00.000;457742
C   778;FTI/2017/2149;Fatt. clienti italia;2017;FTI;2149;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;300.0000;2;PAGATO;2017-05-12 00:00:00.000;457744
C   842;FTI/2017/2151;Fatt. clienti italia;2017;FTI;2151;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;27918.3600;2;PAGATO;2017-05-12 00:00:00.000;457746
C   920;FTI/2017/2153;Fatt. clienti italia;2017;FTI;2153;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;4975.0000;0;NON EMESSO;NULL;457748
C  1157;FTI/2017/2155;Fatt. clienti italia;2017;FTI;2155;;2017-05-12 00:00:00.000;2017-06-30 00:00:00.000;99736.8600;2;PAGATO;2017-07-12 00:00:00.000;457750
C  1222;FTI/2017/2157;Fatt. clienti italia;2017;FTI;2157;;2017-05-12 00:00:00.000;2017-08-31 00:00:00.000;763.1100;0;NON EMESSO;NULL;457752
C  1231;FTI/2017/2159;Fatt. clienti italia;2017;FTI;2159;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;1232.2000;2;PAGATO;2017-05-12 00:00:00.000;457754
C  1268;FTI/2017/2161;Fatt. clienti italia;2017;FTI;2161;;2017-05-12 00:00:00.000;2017-09-09 00:00:00.000;2263.7100;0;NON EMESSO;NULL;457756
C  1288;FTI/2017/2163;Fatt. clienti italia;2017;FTI;2163;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;1525.0000;2;PAGATO;2017-05-12 00:00:00.000;457758
C  1329;FTI/2017/2165;Fatt. clienti italia;2017;FTI;2165;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;908.9000;2;PAGATO;2017-05-12 00:00:00.000;457760
C  1349;FTI/2017/2167;Fatt. clienti italia;2017;FTI;2167;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;7739.5000;2;PAGATO;2017-05-12 00:00:00.000;457762
C  1438;FTI/2017/2169;Fatt. clienti italia;2017;FTI;2169;;2017-05-12 00:00:00.000;2017-10-10 00:00:00.000;33535.9700;2;PAGATO;2017-05-12 00:00:00.000;457764
C  1474;FTI/2017/2171;Fatt. clienti italia;2017;FTI;2171;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;229.2000;2;PAGATO;2017-05-12 00:00:00.000;457766
C  1684;FTI/2017/2173;Fatt. clienti italia;2017;FTI;2173;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;976.0000;2;PAGATO;2017-05-12 00:00:00.000;457768
C  1737;FTI/2017/2175;Fatt. clienti italia;2017;FTI;2175;;2017-05-12 00:00:00.000;2017-07-31 00:00:00.000;2714.5000;2;PAGATO;2017-05-12 00:00:00.000;457770
C  1755;FTI/2017/2176;Fatt. clienti italia;2017;FTI;2176;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;9449.1400;2;PAGATO;2017-05-12 00:00:00.000;457771
C  1792;FTI/2017/2178;Fatt. clienti italia;2017;FTI;2178;;2017-05-12 00:00:00.000;2017-09-10 00:00:00.000;1439.6000;2;PAGATO;2017-05-12 00:00:00.000;457773
