CODCLIFOR;DOCUMENTO;TIPODOCUMENTO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;DATASCADENZA;IMPORTOSCEURO;ESITO;DSCESITO;DATAPAGEFF;IDTESTA
C  2132;FTI/2016/2904;Fatt. clienti italia;2016;FTI;2904;;2016-06-30 00:00:00.000;2016-09-30 00:00:00.000;167.7500;2;PAGATO;2016-10-14 00:00:00.000;424881
C  2220;FTI/2016/2906;Fatt. clienti italia;2016;FTI;2906;;2016-06-30 00:00:00.000;2016-10-31 00:00:00.000;5881.2000;2;PAGATO;2016-11-15 00:00:00.000;424883
C  2244;FTI/2016/2907;Fatt. clienti italia;2016;FTI;2907;;2016-06-30 00:00:00.000;2016-08-29 00:00:00.000;9823.4400;2;PAGATO;2016-09-02 00:00:00.000;424884
C  2273;FTI/2016/2909;Fatt. clienti italia;2016;FTI;2909;;2016-06-30 00:00:00.000;2016-09-30 00:00:00.000;2161.7400;2;PAGATO;2016-06-30 00:00:00.000;424886
C  2444;FTI/2016/2911;Fatt. clienti italia;2016;FTI;2911;;2016-06-30 00:00:00.000;2016-09-10 00:00:00.000;1212.6800;2;PAGATO;2016-06-30 00:00:00.000;424888
C  2490;FTI/2016/2912;Fatt. clienti italia;2016;FTI;2912;;2016-06-30 00:00:00.000;2016-09-10 00:00:00.000;454.4500;2;PAGATO;2016-06-30 00:00:00.000;424889
C  2586;FTI/2016/2914;Fatt. clienti italia;2016;FTI;2914;;2016-06-30 00:00:00.000;2016-09-10 00:00:00.000;3082.0000;2;PAGATO;2016-06-30 00:00:00.000;424891
C  2772;FTI/2016/2916;Fatt. clienti italia;2016;FTI;2916;;2016-06-30 00:00:00.000;2016-09-10 00:00:00.000;1720.2000;2;PAGATO;2016-06-30 00:00:00.000;424893
C  2777;FTI/2016/2918;Fatt. clienti italia;2016;FTI;2918;;2016-06-30 00:00:00.000;2016-08-31 00:00:00.000;13278.4800;2;PAGATO;2016-10-03 00:00:00.000;424895
C  2813;FTI/2016/2920;Fatt. clienti italia;2016;FTI;2920;;2016-06-30 00:00:00.000;2016-08-31 00:00:00.000;550.5300;2;PAGATO;2016-11-18 00:00:00.000;424897
C  2842;FTI/2016/2922;Fatt. clienti italia;2016;FTI;2922;;2016-06-30 00:00:00.000;2016-09-10 00:00:00.000;111.3300;2;PAGATO;2016-06-30 00:00:00.000;424899
C  2580;FTE/2016/1197;Fatt. clienti estero;2016;FTE;1197;;2016-07-04 00:00:00.000;2016-09-30 00:00:00.000;15120.0000;2;PAGATO;2016-10-18 00:00:00.000;424999
C  2345;FTE/2016/1199;Fatt. clienti estero;2016;FTE;1199;;2016-07-04 00:00:00.000;2016-11-30 00:00:00.000;22410.0000;2;PAGATO;2016-12-02 00:00:00.000;425001
C  1897;FTE/2016/1201;Fatt. clienti estero;2016;FTE;1201;;2016-07-04 00:00:00.000;2016-10-02 00:00:00.000;10092.2400;2;PAGATO;2016-10-12 00:00:00.000;425003
C  1725;FTE/2016/1203;Fatt. clienti estero;2016;FTE;1203;;2016-07-04 00:00:00.000;2016-10-02 00:00:00.000;23018.4000;2;PAGATO;2016-11-04 00:00:00.000;425006
C  2624;FTE/2016/1205;Fatt. clienti estero;2016;FTE;1205;;2016-07-05 00:00:00.000;2016-09-03 00:00:00.000;50360.5100;2;PAGATO;2016-10-06 00:00:00.000;425074
C  2345;FTE/2016/1207;Fatt. clienti estero;2016;FTE;1207;;2016-07-05 00:00:00.000;2016-11-30 00:00:00.000;21978.4000;2;PAGATO;2016-12-02 00:00:00.000;425135
C  2379;FTE/2016/1209;Fatt. clienti estero;2016;FTE;1209;;2016-07-05 00:00:00.000;2016-10-31 00:00:00.000;14132.2000;2;PAGATO;2016-11-07 00:00:00.000;425138
C  1870;FTE/2016/1211;Fatt. clienti estero;2016;FTE;1211;;2016-07-05 00:00:00.000;2016-10-03 00:00:00.000;19458.0000;2;PAGATO;2016-09-12 00:00:00.000;425140
C  2162;FTE/2016/1213;Fatt. clienti estero;2016;FTE;1213;;2016-07-05 00:00:00.000;2016-10-03 00:00:00.000;15866.4000;2;PAGATO;2016-10-17 00:00:00.000;425142
C  2659;FTE/2016/1214;Fatt. clienti estero;2016;FTE;1214;;2016-07-06 00:00:00.000;2016-08-05 00:00:00.000;6567.0000;2;PAGATO;2016-08-18 00:00:00.000;425153
C  1040;FTE/2016/1216;Fatt. clienti estero;2016;FTE;1216;;2016-07-06 00:00:00.000;2016-10-31 00:00:00.000;564.5000;2;PAGATO;2016-11-11 00:00:00.000;425202
C  1525;FTE/2016/1218;Fatt. clienti estero;2016;FTE;1218;;2016-07-06 00:00:00.000;2016-10-31 00:00:00.000;9113.6000;2;PAGATO;2016-10-26 00:00:00.000;425294
C  2381;FTE/2016/1220;Fatt. clienti estero;2016;FTE;1220;;2016-07-07 00:00:00.000;2016-09-05 00:00:00.000;7012.5000;2;PAGATO;2016-11-18 00:00:00.000;425357
