CODICE;DESCRIZIONE;NRPEZZIIMBALLO;NOMENCLCOMBINATA1;PROVENIENZA;GRUPPO;NATURA;CATEGORIASTAT;FAMIGLIA;CONCENTRAZIONE;SPECIALITIES;ECOCERT;COSMOS;SOLUZIONI;SOLUZIONIA;SOLUZIONIB;SOLUZIONIC;GRUPPOCRM;GRUPPOVTE;CATEGORIASTATCRM;CATEGORIASTATVTE
11075;ALCOOL C12 C16;25000.000000;38237000;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;1;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11072;ACIDO LATTICO ULTRA PURE 90;1200.000000;;ACQUISTO;MATERIE PRIME;GALACTIC;DERIVATO ACIDO LATTICO;Derivato dell'acido Lattico;;1;1;1;0;0;1;0;DISTRIBUTORI;DISTRIBUTORI;DERIVATO ACIDO LATTICO;DERIVATO ACIDO LATTICO
11060;ALCOOL C11  7 OE;25000.000000;;ACQUISTO;RIVENDITA;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11037;ALCOOL C12 C15 3 OE;.000000;;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11281;PIROCTONE OLAMINA;50.000000;29420090;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;ATTIVI;Attivo;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;AT ATTIVI;AT ATTIVI
11262;ZETEMULS GMS;25.000000;;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;ES ESTERI;Esteri Vari;;0;1;1;0;0;0;0;RIVENDITA;RIVENDITA;ES ESTERI;ES ESTERI
20021#000XXX;AMPHOTENSID B4/C;.000000;34021900;PRODUZIONE;PP PRODUZIONE PROPRIA;PP PRODUZIONE PROPRIA;AF ANFOTERI;Betaina;;0;0;0;0;0;0;0;PP PRODUZIONE PROPRIA;PP PRODUZIONE PROPRIA;AF ANFOTERI;AF ANFOTERI
11381;SARKOSINA NATRIUM;1200.000000;29224995;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;PROTEINA;Amminoacidi;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;PROTEINA;PROTEINA
11205;ACIDO LAURICO;.000000;29159010;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Acido grasso;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11440;ACIDO STEARICO;25.000000;38231100;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Acido grasso;;0;1;1;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
20007#000XXX;ADULCINOL ALD;120.000000;34021190;PRODUZIONE;RIVENDITA;PP PRODUZIONE PROPRIA;OCCASIONALI;Varie;;0;0;0;0;0;0;0;PP PRODUZIONE PROPRIA;PP PRODUZIONE PROPRIA;OCCASIONALI;OCCASIONALI
20020#000XXX;AMPHOTENSID B4;.000000;34021190;PRODUZIONE;PP PRODUZIONE PROPRIA;PP PRODUZIONE PROPRIA;AF ANFOTERI;Betaina;;0;0;0;0;0;0;0;PP PRODUZIONE PROPRIA;PP PRODUZIONE PROPRIA;AF ANFOTERI;AF ANFOTERI
11310;PROTELAN PCA/I;25.000000;29337900;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;ATTIVI;Attivo;;1;1;0;0;0;1;0;RIVENDITA;RIVENDITA;AT ATTIVI;AT ATTIVI
11529;ZUSOLAT 1004;100.000000;34021300;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11530;ZUSOLAT 1005;.000000;;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
